image_filename,brand_name,class_type,alcohol_content,net_contents,government_warning_present,government_warning,notes
01-spirits-clean.png,STONE'S THROW,Kentucky Straight Bourbon Whiskey,45% Alc./Vol. (90 Proof),750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Clean label; every field agrees with the application.
02-spirits-case-difference.png,STONE'S THROW,Kentucky Straight Bourbon Whiskey,45% Alc./Vol. (90 Proof),750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Dave Morrison's case: upper case on the label, title case on the form."
03-spirits-title-case-warning.png,COPPER KETTLE,Straight Rye Whiskey,50% Alc./Vol. (100 Proof),750 mL,yes,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Defect: warning prefix in title case. Jenny Park's rejected case.
04-spirits-altered-warning.png,SALT MARSH,Blended Whiskey,40% Alc./Vol. (80 Proof),750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should avoid alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Defect: one word of the warning altered, should not drink to should avoid."
05-spirits-no-warning.png,LANTERN HILL,London Dry Gin,47% Alc./Vol. (94 Proof),750 mL,no,,Defect: no government warning statement at all.
06-spirits-wrong-abv.png,TWO RIVERS,Silver Rum,40% Alc./Vol. (80 Proof),750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Defect: the application declares 40.5 percent against 40 on the label.
07-spirits-missing-net-contents.png,OLD SEXTANT,Barrel Aged Rum,43% Alc./Vol. (86 Proof),,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Defect: net contents absent from the artwork.
08-spirits-proof-inconsistent.png,FIVE FATHOMS,Straight Bourbon Whiskey,45% Alc./Vol. (92 Proof),750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Defect: 92 proof is not twice 45 percent; the label contradicts itself.
09-wine-clean.png,HOLLOW CREEK,Napa Valley Cabernet Sauvignon,13.5% Alc./Vol.,750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Clean wine label. No proof statement, so no proof cross-check applies."
10-wine-cross-unit-net-contents.png,QUIET ORCHARD,Willamette Valley Pinot Gris,12.5% Alc./Vol.,750 mL,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","Defect: the application states net contents in fluid ounces, the label in mL."
11-beer-rotated.png,NORTH SPUR,India Pale Ale,6.2% Alc./Vol.,12 fl oz,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Image defect: photographed at an angle. Jenny Park's weird angles case.
12-beer-low-contrast.png,GREY HARBOR,Bohemian Style Pilsner,4.8% Alc./Vol.,12 fl oz,yes,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Image defect: poor contrast. Jenny Park's bad lighting case.
